"Carpeta","Elementos","Estado"
"docs\adr","0","VACÍA"
"docs\decisions","0","VACÍA"
"docs\desingn_system","10","CON CONTENIDO"
"docs\desing_system","0","VACÍA"
"docs\guides","0","VACÍA"
"docs\laboratory","0","VACÍA"
"docs\modules","0","VACÍA"
