"Documento","ArchivoAntiguo","TamanoAntiguo","ArchivoOficial","TamanoOficial","ContenidoIdentico"
"VISION","docs\VISION.md","556","docs\00_foundation\VISION.md","0","False"
"ARCHITECTURE","docs\ARCHITECTURE.md","3433","docs\01_architecture\ARCHITECTURE.md","0","False"
"ROADMAP","docs\ROADMAP.md","7259","docs\03_project\ROADMAP.md","0","False"
"MANIFESTO","docs\TENORIO3G_MANIFIESTO.md","1931","docs\00_foundation\MANIFESTO.md","0","False"
