"Archivo","Lineas","TamanoBytes","PrimerTitulo","HashSHA256"
"design_system.md","21","485","","2BC79B819AC3E67B063A6F14527C9DFFC9FAEF96181CD1E2E199AB02EBA01C87"
"domains.md","0","0","","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"folder_structure.md","0","0","","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"roadmap.md","0","0","","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"software_architecture.md","0","0","","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"system_overview.md","0","0","","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"vision.md","10","557","","9298D5F34ED9355A966CB46EF4FD3B798209CE6121F4E853966E5FE5EAA3B3E5"
